# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Sat, 08 Feb 2025 03:02:37 +0100
#
# IP	number of (black)lists
#
134.209.120.69	9
80.82.77.202	8
92.118.39.72	8
92.255.85.188	8
92.255.85.189	8
129.146.67.131	8
178.160.211.111	8
193.32.162.131	8
195.178.110.76	8
218.92.0.111	8
218.92.0.114	8
218.92.0.198	8
218.92.0.217	8
218.92.0.230	8
218.92.0.232	8
218.92.0.233	8
218.150.246.42	8
71.6.135.131	7
2.57.122.189	7
75.178.99.71	7
89.248.172.16	7
92.118.39.75	7
136.27.51.200	7
162.142.125.197	7
162.142.125.198	7
167.94.138.198	7
167.94.138.200	7
167.94.145.96	7
167.94.145.98	7
167.94.145.99	7
167.94.145.100	7
167.94.145.106	7
167.94.145.109	7
167.94.146.53	7
167.94.146.58	7
181.225.140.68	7
185.165.191.27	7
193.32.162.132	7
193.32.162.133	7
193.32.162.135	7
194.0.234.38	7
206.168.34.90	7
207.90.244.5	7
218.92.0.112	7
218.92.0.216	7
218.92.0.218	7
218.92.0.219	7
218.92.0.220	7
218.92.0.221	7
218.92.0.222	7
218.92.0.223	7
218.92.0.225	7
218.92.0.226	7
218.92.0.227	7
218.92.0.228	7
218.92.0.229	7
218.92.0.231	7
218.92.0.235	7
218.92.0.236	7
218.92.0.237	7
222.102.21.102	7
162.142.125.193	7
167.71.163.147	7
187.49.152.10	7
189.23.51.118	7
202.157.186.116	7
207.231.111.207	7
207.90.244.2	7
213.55.85.202	7
68.183.88.186	7
74.73.241.225	7
102.211.152.45	7
103.226.248.206	7
111.67.201.36	7
193.32.162.134	7
193.32.162.137	7
211.105.213.144	7
50.201.154.234	7
64.23.156.175	7
87.120.165.56	7
89.168.18.25	7
92.118.39.71	7
97.107.177.139	7
80.82.77.139	6
82.200.65.218	6
93.174.95.106	6
5.101.0.66	6
45.79.128.205	6
83.222.191.62	6
87.120.93.11	6
93.126.53.41	6
116.98.168.104	6
116.98.171.207	6
162.142.125.34	6
162.142.125.36	6
162.142.125.216	6
165.154.59.90	6
167.94.138.46	6
167.94.138.115	6
167.94.138.117	6
167.94.138.171	6
167.94.138.193	6
167.94.138.202	6
167.94.145.101	6
167.94.145.105	6
167.94.145.111	6
167.94.146.48	6
167.94.146.49	6
167.94.146.51	6
167.94.146.52	6
167.94.146.61	6
182.215.66.232	6
193.32.162.79	6
193.32.162.130	6
193.32.162.136	6
195.178.110.67	6
199.45.154.128	6
199.45.155.86	6
204.76.203.83	6
206.168.34.45	6
206.168.34.49	6
206.168.34.65	6
206.168.34.87	6
206.168.34.92	6
206.168.34.112	6
206.168.34.123	6
206.168.34.127	6
207.90.244.3	6
222.102.214.75	6
101.126.88.251	6
101.126.88.79	6
101.36.231.233	6
103.100.210.19	6
103.130.213.118	6
103.130.215.106	6
103.170.86.94	6
103.176.78.213	6
103.188.177.46	6
103.246.42.72	6
103.94.111.254	6
110.175.220.250	6
113.137.34.110	6
116.193.190.42	6
119.202.128.28	6
119.252.143.6	6
121.142.87.218	6
122.166.49.42	6
124.152.91.221	6
134.209.225.160	6
135.125.161.64	6
136.232.203.134	6
138.197.102.26	6
14.172.44.158	6
14.241.229.103	6
14.29.198.130	6
143.198.110.135	6
145.239.85.111	6
14.63.196.175	6
14.63.217.28	6
154.68.39.6	6
159.89.169.158	6
161.10.247.113	6
161.35.223.68	6
162.142.125.196	6
162.142.125.214	6
162.142.125.218	6
162.142.125.219	6
165.140.237.71	6
167.172.190.187	6
167.94.145.110	6
167.94.146.60	6
167.94.146.63	6
180.100.217.164	6
181.174.224.99	6
181.47.161.34	6
182.43.235.218	6
182.75.216.74	6
184.168.122.184	6
185.213.164.162	6
186.215.107.189	6
186.96.166.237	6
187.210.77.100	6
189.217.130.86	6
192.210.160.175	6
194.113.236.217	6
196.189.61.94	6
196.189.87.177	6
199.45.154.140	6
199.45.154.149	6
199.45.155.82	6
201.148.20.53	6
203.81.213.46	6
206.168.34.218	6
206.168.34.68	6
207.90.244.11	6
209.38.228.147	6
212.49.70.200	6
216.172.190.206	6
220.80.223.144	6
2.57.122.192	6
27.111.32.174	6
27.185.52.202	6
35.237.94.18	6
36.110.228.254	6
36.67.70.198	6
37.58.18.237	6
47.180.114.229	6
50.84.211.204	6
51.195.255.251	6
51.222.200.58	6
51.254.101.166	6
51.68.126.207	6
51.77.151.175	6
54.37.10.124	6
61.153.208.38	6
61.72.55.130	6
62.36.40.104	6
69.49.247.178	6
79.3.96.178	6
91.205.219.185	6
91.92.199.36	6
95.167.225.76	6
96.67.59.65	6
101.47.171.217	6
103.142.86.221	6
111.67.194.206	6
111.67.194.254	6
112.6.211.247	6
112.95.227.2	6
117.2.142.24	6
128.199.157.145	6
130.250.134.35	6
14.29.185.190	6
142.93.116.14	6
143.244.178.70	6
159.203.128.174	6
164.152.61.233	6
164.92.227.178	6
175.6.141.237	6
182.93.50.90	6
185.42.12.141	6
187.16.96.250	6
190.85.15.251	6
193.32.162.139	6
206.217.133.9	6
210.17.230.213	6
31.184.199.71	6
36.213.197.7	6
45.66.247.244	6
49.175.89.60	6
49.231.2.35	6
72.167.44.240	6
80.94.95.112	6
81.161.238.132	6
83.212.126.31	6
91.147.93.36	6
92.118.39.73	6
92.118.39.74	6
92.255.85.37	6
185.224.0.235	6
60.173.114.254	5
80.82.77.33	5
89.97.218.142	5
120.194.7.10	5
211.253.10.96	5
4.255.100.177	5
8.221.139.48	5
14.52.238.218	5
45.43.33.210	5
45.79.181.94	5
45.79.181.179	5
45.125.66.85	5
45.135.95.25	5
51.81.215.64	5
54.38.100.149	5
54.38.100.155	5
54.38.100.159	5
64.62.156.39	5
64.62.156.52	5
64.62.156.76	5
64.62.156.83	5
64.62.156.107	5
65.49.1.28	5
65.49.1.86	5
67.242.51.73	5
72.194.234.244	5
77.90.50.30	5
80.82.70.133	5
91.171.4.7	5
92.118.39.86	5
98.175.165.229	5
107.173.255.205	5
111.67.194.26	5
111.67.203.28	5
116.98.175.145	5
118.193.39.117	5
122.235.159.4	5
135.148.8.104	5
139.19.117.197	5
147.185.132.9	5
147.185.132.55	5
147.185.132.60	5
147.185.132.64	5
147.185.132.69	5
147.185.132.75	5
147.185.132.78	5
147.185.132.102	5
147.185.132.106	5
147.185.132.192	5
149.202.132.202	5
152.32.183.31	5
152.32.235.160	5
158.51.96.38	5
162.142.125.32	5
162.142.125.37	5
162.142.125.40	5
162.142.125.46	5
162.142.125.112	5
162.142.125.114	5
162.142.125.117	5
162.142.125.118	5
162.142.125.121	5
162.142.125.122	5
162.142.125.123	5
162.142.125.124	5
162.142.125.125	5
162.142.125.192	5
162.142.125.195	5
162.142.125.202	5
162.142.125.205	5
162.142.125.206	5
162.142.125.217	5
162.142.125.221	5
162.142.125.222	5
165.154.32.235	5
167.94.138.36	5
167.94.138.40	5
167.94.138.42	5
167.94.138.47	5
167.94.138.52	5
167.94.138.60	5
167.94.138.61	5
167.94.138.62	5
167.94.138.126	5
167.94.138.127	5
167.94.138.169	5
167.94.138.180	5
167.94.138.185	5
167.94.138.192	5
167.94.138.207	5
167.94.145.104	5
167.94.145.107	5
167.94.146.50	5
167.94.146.56	5
171.251.16.73	5
171.251.25.76	5
171.251.26.42	5
172.104.11.4	5
172.104.11.34	5
172.105.128.12	5
172.202.178.64	5
172.245.177.158	5
178.88.82.216	5
185.196.220.81	5
191.178.223.110	5
192.155.90.118	5
192.241.155.120	5
194.0.234.37	5
194.0.234.107	5
195.211.191.56	5
199.45.154.135	5
199.45.155.70	5
199.45.155.72	5
203.55.131.3	5
205.210.31.54	5
205.210.31.172	5
206.168.34.41	5
206.168.34.43	5
206.168.34.48	5
206.168.34.50	5
206.168.34.60	5
206.168.34.64	5
206.168.34.73	5
206.168.34.75	5
206.168.34.76	5
206.168.34.80	5
206.168.34.82	5
206.168.34.93	5
206.168.34.113	5
206.168.34.115	5
206.168.34.117	5
206.168.34.195	5
213.32.32.83	5
213.32.32.84	5
213.32.32.94	5
218.92.0.201	5
218.92.0.203	5
218.92.0.205	5
218.92.0.206	5
218.92.0.207	5
218.92.0.208	5
221.222.184.230	5
101.126.17.129	5
101.126.54.66	5
101.126.89.0	5
101.126.91.34	5
103.10.44.105	5
103.113.105.228	5
103.116.177.251	5
103.130.219.202	5
103.141.208.61	5
103.142.87.225	5
103.147.14.129	5
103.149.26.91	5
103.160.154.23	5
103.172.205.106	5
103.187.146.207	5
103.191.178.123	5
103.200.20.78	5
103.233.206.154	5
103.69.220.19	5
103.75.183.83	5
103.82.92.252	5
103.86.198.162	5
103.87.207.254	5
103.97.132.8	5
109.75.33.121	5
110.49.76.244	5
112.220.250.19	5
114.100.49.20	5
115.231.78.11	5
115.91.91.182	5
116.118.48.183	5
116.172.130.191	5
116.193.191.104	5
117.159.174.136	5
117.185.38.2	5
117.50.188.180	5
117.69.255.239	5
118.179.219.137	5
118.193.77.158	5
1.197.78.123	5
120.48.27.190	5
121.202.195.103	5
122.155.223.2	5
122.165.132.5	5
122.165.244.225	5
122.179.131.55	5
122.226.186.251	5
122.35.192.61	5
123.140.114.196	5
124.105.105.188	5
125.124.156.124	5
125.228.185.131	5
125.94.71.207	5
128.199.188.64	5
128.199.20.225	5
128.199.95.60	5
129.205.124.253	5
134.122.23.65	5
134.209.168.219	5
13.83.43.246	5
139.150.69.56	5
139.59.173.98	5
14.103.115.210	5
14.103.115.233	5
14.103.117.56	5
14.103.120.129	5
14.103.170.167	5
14.18.113.233	5
141.94.23.12	5
142.44.162.161	5
143.110.237.160	5
143.198.146.239	5
143.64.168.136	5
147.185.132.159	5
147.185.132.63	5
148.113.208.45	5
148.66.132.204	5
148.72.246.251	5
150.129.62.15	5
151.80.118.222	5
152.32.158.35	5
15.235.2.68	5
153.37.177.219	5
153.99.92.11	5
154.92.23.218	5
155.248.164.42	5
159.223.77.37	5
159.65.239.178	5
161.49.89.39	5
162.142.125.113	5
162.142.125.115	5
162.142.125.127	5
162.142.125.203	5
162.142.125.220	5
162.142.125.223	5
162.142.125.38	5
162.144.85.107	5
162.19.48.19	5
162.240.157.215	5
162.240.212.247	5
162.240.51.208	5
162.241.131.0	5
165.154.163.199	5
165.154.40.205	5
165.22.150.215	5
165.22.185.200	5
167.94.138.122	5
167.94.138.173	5
167.94.138.181	5
167.94.138.44	5
167.94.138.63	5
167.94.145.102	5
167.94.145.103	5
167.94.145.108	5
167.94.145.97	5
167.94.146.55	5
167.94.146.59	5
167.94.146.62	5
167.99.77.160	5
175.100.24.139	5
175.196.245.105	5
175.6.209.26	5
175.97.136.186	5
176.109.80.72	5
177.6.235.62	5
178.150.135.19	5
179.107.107.139	5
180.103.210.56	5
180.168.60.146	5
180.188.253.150	5
180.76.105.165	5
180.76.139.58	5
182.253.156.184	5
183.88.232.183	5
183.88.242.108	5
185.142.236.34	5
185.142.236.35	5
185.142.236.36	5
185.165.191.26	5
185.196.8.248	5
185.213.165.72	5
185.255.91.68	5
185.29.121.79	5
185.74.4.20	5
186.117.149.128	5
186.13.24.117	5
186.31.95.163	5
186.4.222.45	5
186.96.151.198	5
